,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,gender,body_mass_kg,bill_area_mm2,total_area,flipper_length_z
0,Adelie,Torgersen,39.1,18.7,181.0,3750.0,male,3.75,731.17,132341.77,-1.4246076868633166
1,Adelie,Torgersen,39.5,17.4,186.0,3800.0,female,3.8,687.3,127837.79999999999,-1.0678665530646367
2,Adelie,Torgersen,40.3,18.0,195.0,3250.0,female,3.25,725.4,141453.0,-0.42573251222701297
4,Adelie,Torgersen,36.7,19.3,193.0,3450.0,female,3.45,708.3100000000001,136703.83000000002,-0.5684289657464849
5,Adelie,Torgersen,39.3,20.6,190.0,3650.0,male,3.65,809.58,153820.2,-0.7824736460256929
6,Adelie,Torgersen,38.9,17.8,181.0,3625.0,female,3.625,692.42,125328.01999999999,-1.4246076868633166
7,Adelie,Torgersen,39.2,19.6,195.0,4675.0,male,4.675,768.3200000000002,149822.40000000002,-0.42573251222701297
12,Adelie,Torgersen,41.1,17.6,182.0,3200.0,female,3.2,723.3600000000001,131651.52000000002,-1.3532594601035808
13,Adelie,Torgersen,38.6,21.2,191.0,3800.0,male,3.8,818.32,156299.12,-0.7111254192659568
14,Adelie,Torgersen,34.6,21.1,198.0,4400.0,male,4.4,730.0600000000001,144551.88,-0.21168783194780508
15,Adelie,Torgersen,36.6,17.8,185.0,3700.0,female,3.7,651.48,120523.8,-1.1392147798243728
16,Adelie,Torgersen,38.7,19.0,195.0,3450.0,female,3.45,735.3000000000001,143383.5,-0.42573251222701297
17,Adelie,Torgersen,42.5,20.7,197.0,4500.0,male,4.5,879.75,173310.75,-0.28303605870754106
18,Adelie,Torgersen,34.4,18.4,184.0,3325.0,female,3.325,632.9599999999999,116464.63999999998,-1.2105630065841086
19,Adelie,Torgersen,46.0,21.5,194.0,4200.0,male,4.2,989.0,191866.0,-0.497080738986749
20,Adelie,Biscoe,37.8,18.3,174.0,3400.0,female,3.4,691.74,120362.76,-1.9240452741814684
21,Adelie,Biscoe,37.7,18.7,180.0,3600.0,male,3.6,704.99,126898.2,-1.4959559136230527
22,Adelie,Biscoe,35.9,19.2,189.0,3800.0,female,3.8,689.28,130273.92,-0.8538218727854289
23,Adelie,Biscoe,38.2,18.1,185.0,3950.0,male,3.95,691.4200000000001,127912.70000000001,-1.1392147798243728
24,Adelie,Biscoe,38.8,17.2,180.0,3800.0,male,3.8,667.3599999999999,120124.79999999999,-1.4959559136230527
25,Adelie,Biscoe,35.3,18.9,187.0,3800.0,female,3.8,667.1699999999998,124760.78999999996,-0.9965183263049008
26,Adelie,Biscoe,40.6,18.6,183.0,3550.0,male,3.55,755.1600000000001,138194.28000000003,-1.2819112333438447
27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,female,3.2,724.9499999999999,135565.65,-0.9965183263049008
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,female,3.15,704.94,121249.68000000001,-2.0667417277009403
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,male,3.95,765.4499999999999,137781.0,-1.4959559136230527
30,Adelie,Dream,39.5,16.7,178.0,3250.0,female,3.25,659.65,117417.7,-1.6386523671425246
31,Adelie,Dream,37.2,18.1,178.0,3900.0,male,3.9,673.32,119850.96,-1.6386523671425246
32,Adelie,Dream,39.5,17.8,188.0,3300.0,female,3.3,703.1,132182.80000000002,-0.9251700995451648
33,Adelie,Dream,40.9,18.9,184.0,3900.0,male,3.9,773.0099999999999,142233.83999999997,-1.2105630065841086
34,Adelie,Dream,36.4,17.0,195.0,3325.0,female,3.325,618.8,120665.99999999999,-0.42573251222701297
35,Adelie,Dream,39.2,21.1,196.0,4150.0,male,4.15,827.1200000000001,162115.52000000002,-0.354384285467277
36,Adelie,Dream,38.8,20.0,190.0,3950.0,male,3.95,776.0,147440.0,-0.7824736460256929
37,Adelie,Dream,42.2,18.5,180.0,3550.0,female,3.55,780.7,140526.0,-1.4959559136230527
38,Adelie,Dream,37.6,19.3,181.0,3300.0,female,3.3,725.6800000000001,131348.08000000002,-1.4246076868633166
39,Adelie,Dream,39.8,19.1,184.0,4650.0,male,4.65,760.18,139873.12,-1.2105630065841086
40,Adelie,Dream,36.5,18.0,182.0,3150.0,female,3.15,657.0,119574.0,-1.3532594601035808
41,Adelie,Dream,40.8,18.4,195.0,3900.0,male,3.9,750.7199999999999,146390.4,-0.42573251222701297
42,Adelie,Dream,36.0,18.5,186.0,3100.0,female,3.1,666.0,123876.0,-1.0678665530646367
43,Adelie,Dream,44.1,19.7,196.0,4400.0,male,4.4,868.77,170278.91999999998,-0.354384285467277
44,Adelie,Dream,37.0,16.9,185.0,3000.0,female,3.0,625.3,115680.49999999999,-1.1392147798243728
45,Adelie,Dream,39.6,18.8,190.0,4600.0,male,4.6,744.48,141451.2,-0.7824736460256929
46,Adelie,Dream,41.1,19.0,182.0,3425.0,male,3.425,780.9,142123.8,-1.3532594601035808
